UserID,Date,Timekeeper,Client ,Matter,Task,Activity,Billable,HoursWorked,HoursBilled,Rate,Amount,Phase,Code1,Code2,Code3,Note,Narrative
DCRA,20240401,DCRA,1014,36088,,,,0.5,0.5,,,,,,,,Email with Kathy concerning case update.
DCRA,20240401,DCRA,4347,35742,,,,0.1,0.1,,,,,,,,Email with opposing counsel concerning settlment.
DCRA,20240401,DCRA,1014,33242,,,,0.1,0.1,,,,,,,,Email to clients concerning settlement.
DCRA,20240401,DCRA,1014,33180,,,,0.5,0.5,,,,,,,,Telephone conference with opposing counsel concerning continued trial date.
DCRA,20240401,DCRA,1014,33180,,,,0.2,0.2,,,,,,,,Email to opposing counsel concerning stipulation for new trial date.
DCRA,20240401,DCRA,1014,33180,,,,0.4,0.4,,,,,,,,Email to clients concerning necessity to move trial date. 
DCRA,20240401,DCRA,3911,33823,,,,0.2,0.2,,,,,,,,"Review subpoena to Wingstop, Inc. for basis for motion to quash."
DCRA,20240401,DCRA,1027,37380,,,,0.2,0.2,,,,,,,,Email clients concerning mediation with Linda Meyer.
DCRA,20240401,DCRA,1027,37380,,,,0.1,0.1,,,,,,,,Emails to Gregg and Diane concerning mediation with Linda Meyer.
DCRA,20240401,DCRA,1522,34550,,,,0.3,0.3,,,,,,,,Review and update demand for exchange of expert information.
DCRA,20240401,DCRA,1014,33180,,,,0.1,0.1,,,,,,,,Email from Susan concerning trial availability.
DCRA,20240401,DCRA,1014,36088,,,,0.2,0.2,,,,,,,,Email with Ms. Freeman of EEOC concerning settlement.
DCRA,20240401,DCRA,1027,37380,,,,0.1,0.1,,,,,,,,Email with mediator concerning upcoming mediation.
DCRA,20240401,DCRA,3911,33823,,,,0.6,0.6,,,,,,,,Preparation of meet and confer to opposing counsel concerning demurrer to Third Amended Complaint.
DCRA,20240402,DCRA,4201,34870,,,,0.2,0.2,,,,,,,,Email to opposing counsel concerning early motion for summary adjudication.
DCRA,20240402,DCRA,4347,35742,,,,0.2,0.2,,,,,,,,Email with client concerning settlement.
DCRA,20240402,DCRA,1637,33865,,,,2.3,2.3,,,,,,,,Admin-appeals
DCRA,20240402,DCRA,1326,37642,,,,0.2,0.2,,,,,,,,Email to Callaghan concerning representation.
DCRA,20240402,DCRA,1014,33180,,,,0.2,0.2,,,,,,,,Further email to opposing counsel concerning stipulation to continue trial.
DCRA,20240402,DCRA,1014,38411,,,,0.2,0.2,,,,,,,,Preparation of SIR and preservation letters.
DCRA,20240402,DCRA,1326,37642,,,,0.5,0.5,,,,,,,,Correspondence to client concerning engagement and document collection and preservation.
DCRA,20240402,DCRA,1014,33180,,,,0.3,0.3,,,,,,,,Draft stipulation to continue trial date.
DCRA,20240402,DCRA,1027,37380,,,,0.9,0.9,,,,,,,,Prepare budget for matter .
DCRA,20240402,DCRA,1027,37380,,,,0.2,0.2,,,,,,,,Email to Gregg and Matt concerning budget.
DCRA,20240403,DCRA,1014,35348,,,,0.2,0.2,,,,,,,,Email to opposing counsel concerning mediation.
DCRA,20240403,DCRA,4340,35711,,,,0.1,0.1,,,,,,,,Email to Julie concerning case assessment and budget.
DCRA,20240403,DCRA,4201,34870,,,,0.5,0.5,,,,,,,,Telephone conference with Rob concerning schedule of SF matter and early motion for summary adjudication.
DCRA,20240403,DCRA,3911,33823,,,,0.7,0.7,,,,,,,,Telephone conference with Jeremy concerning demurrer to Third Amended Complaint.
DCRA,20240403,DCRA,4201,34870,,,,0.1,0.1,,,,,,,,Email to Janice concerning accrual.
DCRA,20240403,DCRA,1010,38013,,,,0.3,0.3,,,,,,,,Review deposition notice to client Tapley and further handling.
DCRA,20240403,DCRA,1010,38013,,,,0.1,0.1,,,,,,,,Email from prior counsel Woods concerning file transfer and further handling.
DCRA,20240403,DCRA,1014,33241,,,,0.3,0.3,,,,,,,,Assessment of potential benefits of requiring an inperson deposition of Plaintiff against potential cost of a motion to compel.
DCRA,20240403,DCRA,1014,33242,,,,0.1,0.1,,,,,,,,Email to opposing counsel concerning settlement.
DCRA,20240403,DCRA,1014,33242,,,,0.5,0.5,,,,,,,,Telephone call with opposing counsel Simon Grigorian concerning settlement.
DCRA,20240403,DCRA,1014,35164,,,,0.2,0.2,,,,,,,,Email to clients concerning potential service of complaint.
DCRA,20240403,DCRA,1522,34550,,,,0.4,0.4,,,,,,,,"Email concerning case status, including withdrawal from the case by Griffith and Horn."
DCRA,20240403,DCRA,1014,35348,,,,0.1,0.1,,,,,,,,Email from opposing counsel Dan Price concerning mediation.
DCRA,20240403,DCRA,1045,34676,,,,0.3,0.3,,,,,,,,Email to clients updating case relating to service of 998s and upcoming mediation.
DCRA,20240403,DCRA,1027,37380,,,,0.4,0.4,,,,,,,,Email to clients concerning case status and update.
DCRA,20240403,DCRA,1326,37642,,,,0.3,0.3,,,,,,,,Email to Michael and Carrie concerning factfinding interviews.
DCRA,20240404,DCRA,1326,37642,,,,0.2,0.2,,,,,,,,Email from Carrie concerning site visit to room and board.
DCRA,20240404,DCRA,1014,33180,,,,0.1,0.1,,,,,,,,Email to Henson concerning trial subpoena.
DCRA,20240405,DCRA,1014,33180,,,,0.2,0.2,,,,,,,,Email from opposing counsel concerning cmc.
DCRA,20240405,DCRA,4340,35711,,,,0.1,0.1,,,,,,,,Review and update case management conference statement.
DCRA,20240405,DCRA,4340,35711,,,,2.6,2.6,,,,,,,,Preparation of case assessment and budget.
DCRA,20240405,DCRA,4340,35711,,,,0.2,0.2,,,,,,,,Email to opposing counsel concerning mediation date.
DCRA,20240405,DCRA,1014,33180,,,,0.3,0.3,,,,,,,,Revise stipulation to continue trial based on Judge Brodericks instructions.
DCRA,20240405,DCRA,4340,35711,,,,0.2,0.2,,,,,,,,Email to client concerning case assessment and budget.
DCRA,20240405,DCRA,1014,38411,,,,0.1,0.1,,,,,,,,Email to Mat (former counsel) concerning case status.
DCRA,20240406,DCRA,1014,33180,,,,0.2,0.2,,,,,,,,Further email to Henson concerning trial subpoeana.
DCRA,20240406,DCRA,1014,33180,,,,0.1,0.1,,,,,,,,Email opposing counsel concerning revised stipulation.
DCRA,20240406,DCRA,1014,33242,,,,0.3,0.3,,,,,,,,Email to clients concerning Plaintiff's settlement demand.
DCRA,20240406,DCRA,1522,34550,,,,1,1,,,,,,,,Telephone conference with Septic expert Bonneau Dickson.
DCRA,20240406,DCRA,1637,33865,,,,0.1,0.1,,,,,,,,Email Brandon and Matt concerning case dismissal.
DCRA,20240408,DCRA,1010,38013,,,,0.3,0.3,,,,,,,,Review subpoenas issued by prior counsel Woods for Plaintiff's medical records and further handling.
DCRA,20240408,DCRA,1010,38013,,,,0.2,0.2,,,,,,,,Review email from client Tapley concerning deposition preparation and accident details.
DCRA,20240408,DCRA,1522,34550,,,,0.1,0.1,,,,,,,,Email to clients concerning trial strategy.
DCRA,20240408,DCRA,4340,35711,,,,0.1,0.1,,,,,,,,Email to mediator concerning medation dates.
DCRA,20240408,DCRA,1014,33180,,,,0.2,0.2,,,,,,,,Review changes to stipulation made by opposing counsel and finalize stipulation.
DCRA,20240408,DCRA,1010,38013,,,,0.4,0.4,,,,,,,,Review Plaintiff's responses to interrogatories in connection with initial assessment.
DCRA,20240408,DCRA,1010,38013,,,,0.1,0.1,,,,,,,,Review email from Garcia to Tyson Mendes concerning Plaintiff's manuvers.
DCRA,20240404,DCRA,1522,34550,,,,1.1,1.1,,,,,,,,Telephone conference with septic expert concerning opinions.
DCRA,20240408,DCRA,4161,34973,,,,0.1,0.1,,,,,,,,Emails with Christina concerning 998.
DCRA,20240408,DCRA,4151,38741,,,,0.8,0.8,,,,,,,,Admin: Opening Matter`
DCRA,20240409,DCRA,4151,38741,,,,0.1,0.1,,,,,,,,Email to client concerning case assignment.
DCRA,20240409,DCRA,4201,34870,,,,0.2,0.2,,,,,,,,Email to opposing counsel concerning  Baker's requested extension of time to SBM's complaint.
DCRA,20240409,DCRA,4161,34973,,,,0.2,0.2,,,,,,,,Email to Greg concerning service of 998.
DCRA,20240409,DCRA,1014,33242,,,,0.1,0.1,,,,,,,,Email to opposing counsel Simon Grigorian concerning defendant's settlement position.
DCRA,20240409,DCRA,1014,38619,,,,0.2,0.2,,,,,,,,Email with Beckie concerning Claimant's personnel file.
DCRA,20240409,DCRA,1027,36652,,,,0.3,0.3,,,,,,,,Email with opposing counsel concerning mandatory rule 26(f) conference.
DCRA,20240409,DCRA,1014,38619,,,,0.1,0.1,,,,,,,,Email with Beckie concerning settlement authority.
DCRA,20240409,DCRA,1027,36652,,,,1,1,,,,,,,,Preparation of budget.
DCRA,20240409,DCRA,4151,38741,,,,0.2,0.2,,,,,,,,Email to and from client concerning representation and preservation of evidence.
DCRA,20240409,DCRA,4340,35711,,,,0.3,0.3,,,,,,,,Email to Julie concerning mediation dates and deposition.
DCRA,20240410,DCRA,3911,33823,,,,0.9,0.9,,,,,,,,Appear at CMC over Zoom.
DCRA,20240410,DCRA,1014,33180,,,,0.8,0.8,,,,,,,,Appeal--
DCRA,20240410,DCRA,1326,37642,,,,0.2,0.2,,,,,,,,Email to Carrie concerning potential indemnity with Irwin House.
DCRA,20240410,DCRA,1027,36652,,,,0.6,0.6,,,,,,,,Analysis of data produced by client reflecting FMLA/CFRA utilization.
DCRA,20240410,DCRA,4299,35484,,,,0.1,0.1,,,,,,,,Email to client concerning case status.
DCRA,20240410,DCRA,1027,37380,,,,0.8,0.8,,,,,,,,Fact finding interview with Gregg and Diane concerning background.
DCRA,20240410,DCRA,1010,38013,,,,0.2,0.2,,,,,,,,Email to opposing counsel concerning client Tapley's deposition.
DCRA,20240410,DCRA,1027,36652,,,,0.5,0.5,,,,,,,,Email to Angela and Regis concerning preliminary factfinding investigation and budet.
DCRA,20240410,DCRA,1010,38013,,,,0.2,0.2,,,,,,,,Email to client Rhemm concerning case update and conference call.
DCRA,20240410,DCRA,4711,38960,,,,0.6,0.6,,,,,,,,Review substitution of attorney forms for five matters.
DCRA,20240410,DCRA,1014,33242,,,,0.8,0.8,,,,,,,,Preparation of draft settlement agreement.
DCRA,20240410,DCRA,1014,33242,,,,0.2,0.2,,,,,,,,Email to clients conerning settlement agreement.
DCRA,20240411,DCRA,1010,38013,,,,0.5,0.5,,,,,,,,Email to Katie Garcia concerning case assessment and update.
DCRA,20240411,DCRA,1522,34550,,,,1,1,,,,,,,,"Conference with Jessica and Adam concerning trial strategy and service of 998 for $30,000."
DCRA,20240411,DCRA,3900,33770,,,,0.3,0.3,,,,,,,,Review meet and confer correspondence concerning discovery dispute.
DCRA,20240411,DCRA,4201,34870,,,,0.2,0.2,,,,,,,,Email with Rob concerning potential compromise permit early motion for summary adjudication.
DCRA,20240411,DCRA,4201,34870,,,,0.4,0.4,,,,,,,,Email from Rob conerning proposal to accept paragraph 25 for purposes of motion for summary adjudication.
DCRA,20240411,DCRA,3911,33823,,,,0.2,0.2,,,,,,,,"Legal strategy concerning motion to quash subpoena to Wingstop, Inc."
DCRA,20240411,DCRA,4711,38960,,,,0.4,0.4,,,,,,,,Update and draft engagement letters for de novo trials.
DCRA,20240411,DCRA,1014,35348,,,,0.1,0.1,,,,,,,,Email to and from client concerning position statement.
DCRA,20240411,DCRA,4711,38960,,,,0.9,0.9,,,,,,,,Telephone call to Dylan (former counsel) concerning transfer of file and case background.
DCRA,20240411,DCRA,4711,38960,,,,0.7,0.7,,,,,,,,Telephone confrence with Culjat of DLSE concerning represenation and case status.
DCRA,20240411,DCRA,1027,37380,,,,1,1,,,,,,,,Factfinding interview of Bronwyn Lindsay.
DCRA,20240412,DCRA,4711,38960,,,,0.3,0.3,,,,,,,,Email from Culjat concerning stipulation to continue trial.
DCRA,20240412,DCRA,1014,35348,,,,0.9,0.9,,,,,,,,Telephone call to opposing counsel Dan Price concerning settlement framework with equal parts cash and stock.
DCRA,20240412,DCRA,4340,35711,,,,1,1,,,,,,,,Conference with client and general counsel concerning case strategy.
DCRA,20240412,DCRA,4420,36177,,,,0.5,0.5,,,,,,,,Further analysis of wage data.
DCRA,20240412,DCRA,1326,37642,,,,0.6,0.6,,,,,,,,Update and draft general denial and affirmative defenses.
DCRA,20240412,DCRA,4711,38960,,,,0.2,0.2,,,,,,,,Email to Dylan concerning SOAs.
DCRA,20240412,DCRA,4711,38960,,,,0.1,0.1,,,,,,,,Email to Culjat concerning stipulations to continue trial.
DCRA,20240412,DCRA,4711,38960,,,,0.4,0.4,,,,,,,,Email to Dylan concerning amending notice of appeal.
DCRA,20240415,DCRA,1014,35348,,,,0.3,0.3,,,,,,,,Email to client concerning Plaintiff's settlement position.
DCRA,20240415,DCRA,4711,38960,,,,0.2,0.2,,,,,,,,Further follow up concerning transfer of file from prior law firm.
DCRA,20240415,DCRA,1014,35348,,,,0.8,0.8,,,,,,,,Telephone conference with client concerning Plaintiff's settlement offer and discussion of counteroffer.
DCRA,20240415,DCRA,1014,35348,,,,0.2,0.2,,,,,,,,Email to client concerning counterproposal to Plaintiff.
DCRA,20240415,DCRA,1522,34550,,,,0.6,0.6,,,,,,,,Draft and revise 998 offer of compromise to Plaintiffs.
DCRA,20240415,DCRA,1525,38792,,,,0.1,0.1,,,,,,,,Email to Heather concerning case assignment.
DCRA,20240415,DCRA,1045,34676,,,,0.2,0.2,,,,,,,,Email to Leslie concerning litigation report.
DCRA,20240415,DCRA,1014,35348,,,,0.2,0.2,,,,,,,,Email from opposing counsel Dan Price concerning counteroffer.
DCRA,20240415,DCRA,1525,38792,,,,0.3,0.3,,,,,,,,Email to Loraine concerning case status.
DCRA,20240415,DCRA,1014,33241,,,,0.3,0.3,,,,,,,,Review and update requests for admissions (set one) to Plaintiff.
DCRA,20240415,DCRA,1525,38792,,,,0.2,0.2,,,,,,,,Review and update SIR letter.
DCRA,20240415,DCRA,4711,38960,,,,0.6,0.6,,,,,,,,Review and update amended notice of appeal.
DCRA,20240415,DCRA,1525,38792,,,,0.8,0.8,,,,,,,,"Email to Loraine concerning case status, factfinding interviews, and document collection."
DCRA,20240415,DCRA,4151,38741,,,,0.7,0.7,,,,,,,,Email to client concerning preliminary case analysis.
DCRA,20240416,DCRA,4151,38741,,,,0.1,0.1,,,,,,,,Email to and from Dawn concerning case status.
DCRA,20240416,DCRA,4151,38741,,,,0.1,0.1,,,,,,,,Telephone call to opposing counsel concerning ineffective service and asset sale.
DCRA,20240416,DCRA,4711,38960,,,,0.3,0.3,,,,,,,,Review SOAs provided by client and further handling.
DCRA,20240416,DCRA,1027,36652,,,,0.9,0.9,,,,,,,,Appearance at Court mandated rule 26(f)  conference.
DCRA,20240416,DCRA,1522,34550,,,,0.3,0.3,,,,,,,,Further revisions to 998 offer of compromise.
DCRA,20240416,DCRA,1027,36652,,,,0.3,0.3,,,,,,,,Revision of trial schedule suggested by Plaintiff.
DCRA,20240416,DCRA,1522,34550,,,,0.1,0.1,,,,,,,,Email to opposing counsel concerning settlement.
DCRA,20240416,DCRA,1525,38792,,,,1.5,1.5,,,,,,,,Factfinding interview with Loraine and Julie concerning case background and personnel practices.
DCRA,20240416,DCRA,4711,38960,,,,0.2,0.2,,,,,,,,Email Culjat concerning stipulation to continue trial.
DCRA,20240416,DCRA,4711,38960,,,,3.9,3.9,,,,,,,,Review pleading file for five matters.
DCRA,20240416,DCRA,1014,35348,,,,0.6,0.6,,,,,,,,Email to opposing counsel Dan Price concerning Mojio stock option plan as it relates to settlement framework.
DCRA,20240416,DCRA,4711,38960,,,,2.6,2.6,,,,,,,,Preparation of correspondence to Culjat concerning the DLSE improper taking of default against client.
DCRA,20240416,DCRA,4711,38960,,,,0.4,0.4,,,,,,,,"Legal strategy concerning revision of SOAs reflecting Kumar Hotels, Inc."
DCRA,20240416,DCRA,1045,34676,,,,1.9,1.9,,,,,,,,Draft and update mediation liability and damages sections of pre-mediation assessment.
DCRA,20240417,DCRA,1525,38922,,,,1.5,1.5,,,,,,,,Admin-Opening new matter.
DCRA,20240417,DCRA,4711,38960,,,,0.4,0.4,,,,,,,,Email to and from Colleen concerning meet and confer over notice of appeal and improper judgment.
DCRA,20240417,DCRA,4711,38960,,,,0.2,0.2,,,,,,,,Further email from Colleen concerning agreement for Dlse to hold collection efforts.
DCRA,20240417,DCRA,1045,34676,,,,0.5,0.5,,,,,,,,Futher update and draft pre-mediation assessment.
DCRA,20240417,DCRA,1045,34676,,,,0.1,0.1,,,,,,,,Email to clients concerning premediation assessment.
DCRA,20240417,DCRA,1014,38411,,,,,,,,,,,,,Email to opposing counsel concerning case and potential settlement.
DCRA,20240417,DCRA,1014,38411,,,,0.2,0.2,,,,,,,,Review personnel file for Claimant.
DCRA,20240417,DCRA,3911,33823,,,,0.4,0.4,,,,,,,,"Preparation of objection to subpoena to Wingstop, Inc."
DCRA,20240418,DCRA,1045,34676,,,,0.1,0.1,,,,,,,,Email with Kristin concerning mediation.
DCRA,20240418,DCRA,1010,38013,,,,0.1,0.1,,,,,,,,Review deposition amended deposition notice for client Tapley.
DCRA,20240418,DCRA,4711,38960,,,,0.7,0.7,,,,,,,,Review meet and confer correspondence concerning Defendants responses to Plaintiffs discovery requestions set 1.
DCRA,20240418,DCRA,1326,37642,,,,0.2,0.2,,,,,,,,Email from Santiago (counsel for City of Fresno).
DCRA,20240419,DCRA,1522,34550,,,,0.3,0.3,,,,,,,,Email from opposing counsel concerning expert disclosures.
DCRA,20240420,DCRA,1045,34676,,,,0.2,0.2,,,,,,,,Email Leslie and Kristin concerning plan for mediation.
DCRA,20240421,DCRA,3911,33823,,,,0.3,0.3,,,,,,,,"Further legal strategy concerning Wingstop, Inc. subpoena."
DCRA,20240421,DCRA,1014,35348,,,,0.3,0.3,,,,,,,,Email to client concerning Plaintiff's new Counterdemand.
DCRA,20240422,DCRA,1522,34550,,,,0.2,0.2,,,,,,,,"Review notice of association from Griffith & Horn, Plaintiffs' cocounsel"
DCRA,20240422,DCRA,4711,38960,,,,0.1,0.1,,,,,,,,Email from Culjat concerning stipulation to continue trial.
DCRA,20240422,DCRA,1522,34550,,,,0.4,0.4,,,,,,,,Legal strategy concerning designation of Adam and Carl as nonretained experts.
DCRA,20240422,DCRA,1326,37642,,,,0.1,0.1,,,,,,,,Email from Meg concerning SIR
DCRA,20240422,DCRA,1522,34550,,,,0.4,0.4,,,,,,,,Review and update Defendant's Designation of Expert Witnesses.
DCRA,20240422,DCRA,1522,34550,,,,0.3,0.3,,,,,,,,Review expert designation and declaration served by Defendant Tarwarter.
DCRA,20240422,DCRA,1522,34550,,,,0.4,0.4,,,,,,,,Review expert designation and declaration served by Plaintiffs.
DCRA,20240423,DCRA,1014,35348,,,,0.3,0.3,,,,,,,,Email to and from client concerning new counteroffer to Plaintiff.
DCRA,20240423,DCRA,1014,35348,,,,0.2,0.2,,,,,,,,Email to opposing counsel concerning new counteroffer to Plaintiff.
DCRA,20240423,DCRA,4161,34973,,,,0.1,0.1,,,,,,,,Email to Greg concerning 998 and arbitration.
DCRA,20240423,DCRA,3911,33823,,,,0.3,0.3,,,,,,,,Review email from Jeremy setting forth Plaintiff's arguments in support of Third Amended Complaint.
DCRA,20240423,DCRA,3911,33823,,,,0.2,0.2,,,,,,,,Email from Jeremy concerning potential for settlement.
DCRA,20240423,DCRA,1027,36652,,,,0.2,0.2,,,,,,,,Revise and update court mandated ESI proposal.
DCRA,20240423,DCRA,3911,33823,,,,0.6,0.6,,,,,,,,Brief legal research concerning reasonable reliance element in a fraud claim.
DCRA,20240423,DCRA,3911,33823,,,,0.4,0.4,,,,,,,,Brief legal research on fraudlent inducement.
DCRA,20240423,DCRA,1525,38922,,,,0.3,0.3,,,,,,,,Telephone conference with Eric concerning matter.
DCRA,20240423,DCRA,1027,36652,,,,0.8,0.8,,,,,,,,Appearance at Court mandated ESI conference.
DCRA,20240423,DCRA,1525,38922,,,,0.1,0.1,,,,,,,,Email to Landon concerning new matter.
DCRA,20240423,DCRA,4201,34870,,,,0.3,0.3,,,,,,,,Email to Rob concerning stipulations in SF and SAC matters.
DCRA,20240423,DCRA,3911,33823,,,,0.1,0.1,,,,,,,,Email to Waleed concerning Wingstop subpoena.
DCRA,20240424,DCRA,1522,34550,,,,0.4,0.4,,,,,,,,Review notice of deposition of Plaintiffs' experts served by Defendant Tarwater
DCRA,20240424,DCRA,3911,33823,,,,0.4,0.4,,,,,,,,"Telephone conference with Waleed concerning Wingstop, Inc. subpoena."
DCRA,20240424,DCRA,1522,34550,,,,0.3,0.3,,,,,,,,Review email from Plaintiffs concerning expert depositions.
DCRA,20240424,DCRA,1014,35357,,,,0.3,0.3,,,,,,,,Email to Alyssa concerning case status update.
DCRA,20240424,DCRA,4711,38960,,,,0.7,0.7,,,,,,,,Review and respond to email from DLSE proposing amendment to notice of appeal and removal of lien against client's personal property.
DCRA,20240424,DCRA,1014,35348,,,,0.5,0.5,,,,,,,,Email to client concerning new counterdemand by Plaintiff and recommendation for counteroffer.
